Date,"Close Price"
"2017-12-21 00:00:00",16454.72
"2017-12-21 00:01:00",16480
"2017-12-21 00:02:00",16474.91
"2017-12-21 00:03:00",16476.72
"2017-12-21 00:04:00",16476.29
"2017-12-21 00:05:00",16486.88
"2017-12-21 00:06:00",16481.42
"2017-12-21 00:07:00",16470.41
"2017-12-21 00:08:00",16473.58
"2017-12-21 00:09:00",16473.78
"2017-12-21 00:10:00",16473.96
"2017-12-21 00:11:00",16471.98
"2017-12-21 00:12:00",16460.68
"2017-12-21 00:13:00",16447.03
"2017-12-21 00:14:00",16428.77
"2017-12-21 00:15:00",16414.45
"2017-12-21 00:16:00",16413.14
"2017-12-21 00:17:00",16401.38
"2017-12-21 00:18:00",16389.74
"2017-12-21 00:19:00",16388.35
"2017-12-21 00:20:00",16397.53
"2017-12-21 00:21:00",16394.4
"2017-12-21 00:22:00",16392.7
"2017-12-21 00:23:00",16424.97
"2017-12-21 00:24:00",16455.77
"2017-12-21 00:25:00",16467.34
"2017-12-21 00:26:00",16469.87
"2017-12-21 00:27:00",16477.45
"2017-12-21 00:28:00",16485.18
"2017-12-21 00:29:00",16500.18
"2017-12-21 00:30:00",16527.08
"2017-12-21 00:31:00",16554.05
"2017-12-21 00:32:00",16580.15
"2017-12-21 00:33:00",16586.49
"2017-12-21 00:34:00",16626.49
"2017-12-21 00:35:00",16660.14
"2017-12-21 00:36:00",16680.71
"2017-12-21 00:37:00",16685.01
"2017-12-21 00:38:00",16683.27
"2017-12-21 00:39:00",16691.6
"2017-12-21 00:40:00",16691.41
"2017-12-21 00:41:00",16699.83
"2017-12-21 00:42:00",16672.1
"2017-12-21 00:43:00",16604.69
"2017-12-21 00:44:00",16583.89
"2017-12-21 00:45:00",16585.62
"2017-12-21 00:46:00",16552.72
"2017-12-21 00:47:00",16551.88
"2017-12-21 00:48:00",16546.04
"2017-12-21 00:49:00",16610.67
"2017-12-21 00:50:00",16657.18
"2017-12-21 00:51:00",16714.78
"2017-12-21 00:52:00",16734.35
"2017-12-21 00:53:00",16719.97
"2017-12-21 00:54:00",16690.06
"2017-12-21 00:55:00",16698.57
"2017-12-21 00:56:00",16706.36
"2017-12-21 00:57:00",16688.02
"2017-12-21 00:58:00",16697.3
"2017-12-21 00:59:00",16705.22
"2017-12-21 01:00:00",16682.26
"2017-12-21 01:01:00",16672.29
"2017-12-21 01:02:00",16670.45
"2017-12-21 01:03:00",16650.91
"2017-12-21 01:04:00",16595.93
"2017-12-21 01:05:00",16591.4
"2017-12-21 01:06:00",16621.32
"2017-12-21 01:07:00",16610.24
"2017-12-21 01:08:00",16620.63
"2017-12-21 01:09:00",16606.05
"2017-12-21 01:10:00",16602.44
"2017-12-21 01:11:00",16570.78
"2017-12-21 01:12:00",16548.36
"2017-12-21 01:13:00",16493.59
"2017-12-21 01:14:00",16479.71
"2017-12-21 01:15:00",16480.86
"2017-12-21 01:16:00",16458.14
"2017-12-21 01:17:00",16425.12
"2017-12-21 01:18:00",16430.8
"2017-12-21 01:19:00",16434.09
"2017-12-21 01:20:00",16460.51
"2017-12-21 01:21:00",16461.58
"2017-12-21 01:22:00",16498.34
"2017-12-21 01:23:00",16476.61
"2017-12-21 01:24:00",16459.62
"2017-12-21 01:25:00",16464.51
"2017-12-21 01:26:00",16458.09
"2017-12-21 01:27:00",16443.32
"2017-12-21 01:28:00",16431.17
"2017-12-21 01:29:00",16420.48
"2017-12-21 01:30:00",16454.86
"2017-12-21 01:31:00",16483.01
"2017-12-21 01:32:00",16475.11
"2017-12-21 01:33:00",16470.97
"2017-12-21 01:34:00",16468.22
"2017-12-21 01:35:00",16485.6
"2017-12-21 01:36:00",16514.19
"2017-12-21 01:37:00",16542.36
"2017-12-21 01:38:00",16556.69
"2017-12-21 01:39:00",16577.42
"2017-12-21 01:40:00",16609.75
"2017-12-21 01:41:00",16623.21
"2017-12-21 01:42:00",16594.54
"2017-12-21 01:43:00",16590.17
"2017-12-21 01:44:00",16596.34
"2017-12-21 01:45:00",16595.71
"2017-12-21 01:46:00",16586.18
"2017-12-21 01:47:00",16585.53
"2017-12-21 01:48:00",16586.96
"2017-12-21 01:49:00",16591.73
"2017-12-21 01:50:00",16589.62
"2017-12-21 01:51:00",16588.02
"2017-12-21 01:52:00",16579.48
"2017-12-21 01:53:00",16576.46
"2017-12-21 01:54:00",16558.04
"2017-12-21 01:55:00",16547.5
"2017-12-21 01:56:00",16527.68
"2017-12-21 01:57:00",16512.08
"2017-12-21 01:58:00",16521.05
"2017-12-21 01:59:00",16535.38
"2017-12-21 02:00:00",16501.31
"2017-12-21 02:01:00",16490.68
"2017-12-21 02:02:00",16485.82
"2017-12-21 02:03:00",16486.93
"2017-12-21 02:04:00",16516.21
"2017-12-21 02:05:00",16546.55
"2017-12-21 02:06:00",16567.92
"2017-12-21 02:07:00",16597.17
"2017-12-21 02:08:00",16591.58
"2017-12-21 02:09:00",16570.1
"2017-12-21 02:10:00",16556.03
"2017-12-21 02:11:00",16566.43
"2017-12-21 02:12:00",16598.52
"2017-12-21 02:13:00",16603.74
"2017-12-21 02:14:00",16620.85
"2017-12-21 02:15:00",16610.48
"2017-12-21 02:16:00",16601.89
"2017-12-21 02:17:00",16594.37
"2017-12-21 02:18:00",16571.87
"2017-12-21 02:19:00",16568.13
"2017-12-21 02:20:00",16602.64
"2017-12-21 02:21:00",16573.48
"2017-12-21 02:22:00",16560.12
"2017-12-21 02:23:00",16542.35
"2017-12-21 02:24:00",16518.95
"2017-12-21 02:25:00",16497.29
"2017-12-21 02:26:00",16511.36
"2017-12-21 02:27:00",16515.21
"2017-12-21 02:28:00",16503.79
"2017-12-21 02:29:00",16497.82
"2017-12-21 02:30:00",16481.56
"2017-12-21 02:31:00",16463.5
"2017-12-21 02:32:00",16452.28
"2017-12-21 02:33:00",16458.59
"2017-12-21 02:34:00",16471.34
"2017-12-21 02:35:00",16459.71
"2017-12-21 02:36:00",16465.72
"2017-12-21 02:37:00",16455.68
"2017-12-21 02:38:00",16446.85
"2017-12-21 02:39:00",16442.29
"2017-12-21 02:40:00",16435.5
"2017-12-21 02:41:00",16423.62
"2017-12-21 02:42:00",16416.95
"2017-12-21 02:43:00",16425.12
"2017-12-21 02:44:00",16429.3
"2017-12-21 02:45:00",16425.14
"2017-12-21 02:46:00",16433.53
"2017-12-21 02:47:00",16443.3
"2017-12-21 02:48:00",16456.27
"2017-12-21 02:49:00",16475.39
"2017-12-21 02:50:00",16467.03
"2017-12-21 02:51:00",16439.87
"2017-12-21 02:52:00",16423.63
"2017-12-21 02:53:00",16401.06
"2017-12-21 02:54:00",16393.44
"2017-12-21 02:55:00",16361.97
"2017-12-21 02:56:00",16339.4
"2017-12-21 02:57:00",16362.87
"2017-12-21 02:58:00",16383.94
"2017-12-21 02:59:00",16386.29
"2017-12-21 03:00:00",16374.82
"2017-12-21 03:01:00",16350.34
"2017-12-21 03:02:00",16323.18
"2017-12-21 03:03:00",16266.89
"2017-12-21 03:04:00",16226
"2017-12-21 03:05:00",16188.87
"2017-12-21 03:06:00",16236.7
"2017-12-21 03:07:00",16261.8
"2017-12-21 03:08:00",16240.08
"2017-12-21 03:09:00",16197.49
"2017-12-21 03:10:00",16163.72
